area,bedrooms,datetime,geotag,has_image,has_map,id,name,price,repost_of,url,where
,3,2019-04-07 14:50,"(43.760921, -79.30982)",True,True,6860495615,Newly Renovated Bungalow With 3+1 Bedrooms,$939000,,https://toronto.craigslist.org/tor/reb/d/scarborough-newly-renovated-bungalow/6860495615.html,25 Alice Cres
,1,2019-04-07 14:40,"(43.669391, -79.382599)",True,True,6860487069,Stunning Luxurious Casa Iii Condo At Yonge/Bloor,$688800,,https://toronto.craigslist.org/tor/reb/d/toronto-stunning-luxurious-casa-iii/6860487069.html,Toronto
,4,2019-04-07 14:37,"(43.772678, -79.302811)",True,True,6860484572,"Bright, Spacious, Rarely Offered Back Split 4 Level Link Home",$849999,,https://toronto.craigslist.org/tor/reb/d/scarborough-bright-spacious-rarely/6860484572.html,39 Heaslip Terr
2250ft2,3,2019-04-07 14:34,"(43.716052, -79.279799)",True,True,6860438684,"Freshly Painted & Spacious Home, Close To All Amenities",$799000,,https://toronto.craigslist.org/tor/reb/d/scarborough-freshly-painted-spacious/6860438684.html,10 Winkler Terr
,2,2019-04-07 14:28,"(43.6075, -79.5013)",True,True,6860476565,Split Layout With 2 +1 Bedrooms + 2 Full Baths,$635900,,https://toronto.craigslist.org/tor/reb/d/etobicoke-split-layout-with-2-1/6860476565.html,Toronto
,4,2019-04-07 14:26,"(43.811489, -79.260544)",True,True,6860450190,Bright/Clean All Brick Home On Quiet Cul De Sac,$828000,,https://toronto.craigslist.org/tor/reb/d/scarborough-bright-clean-all-brick-home/6860450190.html,34 Wessex Pl
,2,2019-04-07 14:22,"(43.838407, -79.389948)",True,True,6860471804,Markham Upscale Community Living At Its Best,$635888,,https://toronto.craigslist.org/tor/reb/d/thornhill-markham-upscale-community/6860471804.html,Markham
,2,2019-04-07 14:15,"(43.628947, -79.39442)",True,True,6860465011,Pre-Construction Condo To Be Ready For Occupancy,$629990,,https://toronto.craigslist.org/tor/reb/d/toronto-pre-construction-condo-to-be/6860465011.html,Toronto
,3,2019-04-07 14:09,"(43.750455, -79.308754)",True,True,6860445943,Fully Renovated Corner Lot Home Is Located In The Heart Of Wexford,$799000,,https://toronto.craigslist.org/tor/reb/d/scarborough-fully-renovated-corner-lot/6860445943.html,67 Lynvalley Cres
,1,2019-04-07 14:08,"(43.688917, -79.390213)",True,True,6860459099,Highly Desirable One Bedroom Plus Den Unit,$599900,,https://toronto.craigslist.org/tor/reb/d/toronto-highly-desirable-one-bedroom/6860459099.html,Toronto
